sample	purity	ploidy	depth
MESO0109T1	0.6	1.86	76.4
MESO0109T2	0.93	3.05	165.5
MESO0112T1	0.56	1.94	112.1
MESO0112T2	0.61	1.92	101.9
MESO0112T3	0.63	1.92	76.9
MESO0112T4	0.72	1.97	166.6
MESO0112T5	0.64	1.88	138
MESO0114T1	0.19	4.6	147.3
MESO0114T2	0.22	1.22	63.6
MESO0119T2	0.71	3.48	125.2
MESO0119T3	0.76	3.8	77.4
MESO0123T1	0.94	5.02	49
MESO0123T2	0.89	3.87	89.2
MESO0131T	0.52	3.48	105.3
MESO0170T1	0.52	1.86	95.8
MESO0170T2	0.85	1.99	67.4
MESO0187T1	0.83	1.96	116
MESO0191T	0.52	3.03	91.4
MESO0192T1	0.89	3.08	66.1
MESO0192T2	0.23	3.13	141.1
MESO0192T3	0.8	5.17	72.2
MESO0194T	0.53	1.72	139.6
MESO0195T1	0.59	4.32	127.7
MESO0195T2	0.41	4.38	110.8
MESO0199T	0.84	2.33	124.6
MESO0200T	0.59	1.99	93.4
MESO0232T	0.37	3.58	113.5
MESO0243T	0.96	2.15	56.2
MESO0265T	0.31	2.79	124.8
MESO0268T	0.64	2.1	95.7
MESO0269T1	0.89	2.03	94.3
MESO0269T2	0.91	2.05	95.6
MESO0274T	0.58	1.88	129.7
MESO0280T	1	4.01	108
MESO0284T	0.57	3.02	135
MESO0304T	0.46	2.03	115.5
MESO0305T	0.11	2.96	86.6
MESO0315T	0.23	1.19	79.5
MESO0317T	0.56	2.2	196.4
MESO0362T	0.82	1.95	97.4
MESO0370T1	0.23	3.04	101.9
MESO0370T2	0.64	2.45	51.5
MESO0376T	0.12	3.43	33.7
MESO0381T	0.12	5.06	62.5
MESO0382T	0.36	1.92	56.9
MESO0385T	0.76	1.88	54.3
MESO0386T1	0.53	3.46	49.4
MESO0386T2	0.63	1.98	53.8
MESO0387T	0.76	2.05	53.6
MESO0388T	0.79	2.67	50.3
MESO0389T	0.46	1.72	78.1
MESO0390T	0.48	1.87	50.1
MESO0391T	0.11	5.23	55.4
MESO0393T	0.42	2.33	97.6
MESO0394T	0.81	3.72	87.8
MESO0395T	0.77	3.41	77
MESO0397T	0.97	2.08	77.4
MESO0398T	0.53	2.09	99
MESO0399T	0.8	2.02	106.2
MESO0407T	0.82	1.95	95.8
MESO0414T	0.95	2.03	53
MESO0415T	0.48	1.92	55.5
MESO0416T	0.48	2.43	59.2
MESO0417T	0.3	2.83	58.7
MESO0418T	0.19	4.43	46.7
