PS,FdS,PSE,FdSE
0.1005,0.0791,0.195,0.0855
0.1112,0.1193,0.1845,0.0778
0.1946,0.0772,0.2898,0.1607
0.0697,0.0666,0.171,0.0977
0.0835,0.0688,0.2017,0.08
0.1024,0.0771,0.2845,0.087
0.1679,0.0803,0.3103,0.0609
0.2538,0.0632,0.0772,0.1191
0.1963,0.1069,0.1354,0.0746
0.1295,0.0904,0.1641,0.0685
0.1107,0.0756,0.3405,0.1035
0.0763,0.0653,0.1848,0.0898
0.141,0.1179,0.2337,0.1034
0.0789,0.0538,0.1829,0.0826
0.0695,0.0821,0.3624,0.0659
0.3012,0.067,0.1721,0.0729
0.1674,0.0944,0.174,0.0728
0.1047,0.0832,0.2043,0.1713
0.2722,0.0978,0.1604,0.0696
0.1569,0.0907,0.2852,0.0958
0.0595,0.1062,0.3279,0.0939
0.104,0.091,0.268,0.0568
0.0695,0.0657,0.2131,0.0618
0.1634,0.0753,0.267,0.0619
0.1302,0.0807,0.4128,0.0713
0.0759,0.0924,0.3042,0.0824
0.0855,0.0821,0.266,0.0617
0.1463,0.0785,0.1073,0.1035
0.1,0.0682,0.1939,0.0916
0.1177,0.0997,0.3742,0.0666
0.0805,0.088,0.2783,0.0694
0.106,0.0759,0.247,0.0833
0.1269,0.109,0.2736,0.1093
0.0564,0.0922,0.4145,0.1314
0.0475,0.0896,0.1423,0.0916
0.1005,0.1127,0.1598,0.0959
0.1112,0.0686,0.3584,0.1342
0.1946,0.0619,0.2235,0.1013
0.0697,0.1033,0.2438,0.0682
0.0835,0.059,0.3184,0.135
0.1024,0.1002,0.2451,0.0605
0.1679,0.0816,0.2834,0.0847
0.2538,0.0799,0.2379,0.1019
0.1963,0.1221,0.1411,0.0821
0.1295,0.0676,0.0819,0.0728
0.1107,0.0824,0.1993,0.0823
0.0763,0.0716,0.2446,0.0866
0.141,0.0578,0.2013,0.0791
0.0789,0.0726,0.2443,0.0855
0.0695,0.0591,0.195,0.1054
