s1_ns,s1_nfds
0.347791,0.293765
0.367248,0.34669
0.353242,0.350619
0.365412,0.348759
0.349948,0.300337
0.36915,0.313687
0.333466,0.291877
0.345205,0.371409
0.34319,0.32091
0.350619,0.29876
0.345839,0.294843
0.334317,0.290985
0.36508,0.324593
0.327222,0.289369
0.368402,0.346775
0.359173,0.329124
0.355096,0.340517
0.367252,0.313583
0.341559,0.321073
0.331998,0.343829
0.327912,0.305776
0.355584,0.335517
0.326171,0.36672
0.337996,0.36621
0.322381,0.350594
0.360797,0.360143
0.312611,0.362779
0.331439,0.347626
0.330285,0.321566
0.337903,0.320586
0.28163,0.334157
0.342608,0.358418
0.340935,0.364302
0.361201,0.396037
0.3686,0.359775
0.318797,0.347464
0.329016,0.378719
0.35563,0.352074
0.336082,0.353785
0.369482,0.364187
0.351572,0.337057
0.320134,0.336067
0.323382,0.320948
0.334239,0.378352
0.389198,0.315401
0.315571,0.368557
0.295462,0.347759
0.349233,0.345398
0.317079,0.370506
0.34541,0.365439
