s3_ps,s3_fs
0.093134,0.237892
0.130292,0.245587
0.129013,0.265269
0.111468,0.252603
0.116323,0.221356
0.122067,0.275533
0.082274,0.235248
0.120717,0.233945
0.089843,0.276593
0.141692,0.255231
0.115101,0.241778
0.078991,0.27268
0.079632,0.233192
0.11891,0.262207
0.075485,0.267885
0.127783,0.211008
0.100252,0.284798
0.094446,0.250855
0.133122,0.259189
0.102259,0.278353
0.12479,0.300324
0.124575,0.258585
0.093705,0.244045
0.11236,0.241927
0.108946,0.273962
0.146838,0.263263
0.124896,0.214353
0.097478,0.216565
0.111036,0.261122
0.093005,0.279864
0.09011,0.266768
0.135652,0.291178
0.09383,0.280214
0.085985,0.300541
0.097536,0.26777
0.100244,0.209483
0.128362,0.27319
0.146179,0.16053
0.1715,0.251524
0.118796,0.251187
0.141632,0.26346
0.085972,0.275111
0.076356,0.321221
0.123708,0.293175
0.021838,0.248564
0.120456,0.246934
0.115016,0.297821
0.097701,0.276591
0.139486,0.323217
0.083521,0.247388
