NS,NFDS,NSIE,NFDSIE
43,51,123,59
39,60,100,50
44,57,104,51
36,47,58,53
60,74,66,54
42,64,93,51
53,53,78,42
57,60,59,73
40,57,96,55
72,68,79,70
54,50,88,59
40,47,95,57
51,56,94,61
40,51,100,60
27,52,92,51
55,37,89,45
60,50,65,64
47,63,104,46
35,54,88,55
27,59,72,44
48,60,110,65
52,59,75,53
40,70,88,59
62,51,91,56
35,57,96,51
48,57,90,56
32,54,91,54
51,60,64,53
54,58,77,61
69,64,94,43
37,56,98,55
39,46,80,70
47,59,90,59
40,80,103,69
40,57,102,52
43,53,81,49
39,52,94,42
44,63,68,64
36,55,79,64
60,52,81,66
42,51,102,54
53,43,79,52
57,63,98,74
40,63,65,60
72,54,45,61
54,61,90,63
40,54,90,49
51,48,75,49
40,56,84,74
27,55,123,44
