PS,FdS,PSE,FdSE
6,15,46,12
7,9,29,11
14,15,19,4
4,13,15,10
17,15,22,12
9,8,19,10
10,11,18,7
16,10,11,18
10,10,36,17
14,16,24,14
11,13,20,12
6,12,38,10
10,9,28,9
3,16,19,10
6,9,25,10
7,8,26,10
10,13,24,8
12,9,32,6
4,17,34,6
6,11,18,13
6,16,34,9
8,18,22,9
6,9,32,9
13,11,28,12
7,8,39,7
12,12,16,14
3,12,23,6
11,10,17,6
11,12,24,15
19,9,25,8
9,15,20,11
9,10,18,14
14,13,24,4
10,24,29,15
3,12,31,11
6,8,29,9
7,7,29,7
14,10,16,13
4,9,27,15
17,12,22,10
9,10,35,6
10,8,27,12
16,8,25,20
10,8,15,12
14,6,7,9
11,15,31,9
6,13,19,9
10,4,30,13
3,10,23,18
6,10,46,3
