s1,s2,s3,s4
72,51,55,71
91,61,64,81
76,68,73,61
74,79,61,85
93,79,59,75
64,65,61,79
78,71,64,89
70,66,66,68
81,70,54,74
71,63,85,62
76,69,57,55
67,56,72,84
70,56,69,67
86,37,56,67
68,76,66,84
84,78,56,58
93,58,83,83
81,47,54,65
96,61,76,80
70,73,65,59
77,68,58,72
71,63,64,81
81,56,68,74
67,69,50,93
79,72,67,64
77,53,71,72
76,64,60,61
99,58,70,67
91,56,64,61
75,58,63,75
84,68,47,70
83,55,74,66
76,69,58,79
79,68,50,63
80,56,64,67
73,71,60,60
83,72,61,64
77,79,52,60
65,67,61,71
83,59,64,75
77,56,53,91
76,61,68,59
68,56,69,78
86,54,58,75
72,63,51,84
68,52,59,65
70,78,52,87
88,71,59,62
82,61,68,57
67,65,72,92
