s1,s4,s8,s2
79,46,58,63
64,56,56,57
88,79,68,59
62,58,65,63
74,69,66,63
98,69,63,69
81,53,64,65
68,66,72,62
82,72,56,64
88,71,60,56
74,56,59,63
84,55,60,82
77,66,67,56
69,53,64,70
79,63,54,64
74,64,62,59
89,76,59,61
77,57,63,64
95,68,70,57
86,61,67,70
65,71,60,66
75,63,60,65
87,69,55,69
74,70,60,63
66,70,66,67
77,62,69,81
76,56,72,55
72,52,67,62
70,59,64,68
77,60,64,61
72,68,64,64
70,65,63,64
86,56,59,55
71,54,48,73
73,50,58,67
65,51,54,60
71,55,57,71
74,59,67,53
82,60,59,66
68,63,59,69
88,57,66,66
60,75,69,53
66,58,56,54
74,64,63,66
81,73,57,63
71,58,58,63
69,61,55,62
63,62,60,67
83,65,60,65
72,69,65,67
