s1,s2,s3,s4
66,51,87,54
76,64,87,80
75,64,61,88
70,69,100,89
95,79,99,87
69,59,68,94
83,73,89,85
75,53,73,84
76,56,66,92
95,51,70,69
69,63,72,83
71,70,88,70
99,77,86,90
80,67,104,78
86,68,94,109
81,61,75,95
96,64,66,78
79,55,101,93
83,60,93,70
65,108,89,103
76,77,56,91
73,70,81,102
83,72,82,89
88,59,95,81
103,53,90,58
86,85,53,100
76,79,98,64
84,66,68,84
79,55,77,102
92,68,62,97
84,69,71,87
81,55,98,69
93,57,80,78
82,58,74,80
81,77,64,105
95,55,77,105
77,70,91,70
85,74,66,80
87,61,70,78
89,58,77,72
87,76,75,82
94,82,96,90
67,75,86,102
74,103,73,65
81,68,83,99
73,63,84,75
63,59,69,81
72,57,65,88
89,77,71,63
82,63,68,127
