Pre,Post
0.0855,0.0657
0.0778,0.0706
0.1314,0.0772
0.0977,0.0815
0.08,0.0867
0.087,0.0886
0.0609,0.0914
0.1191,0.0924
0.0746,0.1148
0.0685,0.1229
0.1013,0.0539
0.0793,0.0617
0.0644,0.0846
0.0784,0.1015
0.0741,0.1315
0.0628,0.0636
0.0651,0.1284
0.0795,0.0522
0.0878,0.0798
0.0855,0.0805
0.0649,0.0863
0.1031,0.0688
0.1232,0.0572
0.0844,0.1068
0.0695,0.0955
0.0811,0.1039
0.0556,0.0749
0.1208,0.1024
0.0937,0.0677
0.0742,0.0874
0.0934,0.1597
0.0749,0.0714
0.0853,0.0791
0.0778,0.0794
0.0674,0.0693
0.0838,0.0762
0.0677,0.0823
0.0941,0.0884
0.1385,0.0889
0.0795,0.0917
0.0729,0.0868
0.1184,0.094
0.0677,0.0734
0.1017,0.1342
0.0779,0.0806
0.0602,0.0731
0.0831,0.0663
0.0581,0.0793
0.1147,0.0792
0.0659,0.0771
