Pre,Post
0.0845,0.0138
0.0665,0.0155
0.067,0.0156
0.0574,0.0158
0.079,0.0159
0.0726,0.0159
0.0853,0.0159
0.0293,0.0161
0.0618,0.0163
0.0625,0.0163
0.0908,0.0165
0.0851,0.0166
0.0826,0.0166
0.0504,0.0169
0.1122,0.0171
0.0618,0.0172
0.0765,0.0172
0.0751,0.0173
0.0733,0.0174
0.0849,0.0175
0.1145,0.0176
0.0913,0.0178
0.0896,0.0179
0.0928,0.0181
0.1793,0.0182
0.0705,0.0182
0.0811,0.0184
0.0408,0.0184
0.072,0.0186
0.1119,0.0187
0.0725,0.0188
0.0693,0.0189
0.0861,0.0189
0.1303,0.0192
0.0581,0.0193
0.0693,0.0194
0.125,0.0196
0.0645,0.0197
0.0962,0.0198
0.1006,0.0209
0.0969,0.0211
0.1082,0.0212
0.074,0.0214
0.0468,0.0215
0.0288,0.0217
0.08,0.0224
0.0661,0.0229
0.092,0.0244
0.081,0.0226
0.0845,0.0288
