CCF,NB
0.0978,10
0.1136,9
0.1194,7
0.1214,9
0.1218,7
0.1226,14
0.1234,6
0.1236,9
0.1238,12
0.1278,11
0.1286,21
0.1314,9
0.1318,10
0.132,10
0.1332,8
0.1358,17
0.1364,15
0.137,14
0.1388,11
0.1392,6
0.1398,9
0.1426,7
0.1438,21
0.1448,10
0.1456,8
0.1456,9
0.1458,10
0.146,10
0.1578,17
0.1582,13
0.1594,13
0.16,12
0.1608,26
0.162,18
0.162,21
0.1642,12
0.1646,13
0.1646,9
0.1648,21
0.1648,14
0.1652,10
0.1666,14
0.1694,12
0.1696,11
0.171,12
0.171,18
0.1732,9
0.1732,24
0.1738,22
0.174,10
0.1752,12
0.1752,15
0.1762,6
0.1776,16
0.179,8
0.1796,10
0.1802,28
0.1808,10
0.1832,15
0.1832,11
0.1858,18
0.1858,22
0.187,23
0.1878,9
0.1916,13
0.1918,9
0.192,23
0.1934,12
0.1954,10
0.2026,13
0.2038,20
0.2068,9
0.207,12
0.207,6
0.208,31
0.209,20
0.2102,17
0.2108,3
0.2186,4
0.2282,9
0.2356,23
0.2364,10
0.2372,20
0.2382,18
0.2408,19
0.2628,15
0.2684,7
0.269,16
0.27,10
0.3166,20
0.3214,4
0.3426,6
0.3616,22
0.3746,17
0.3872,23
0.3954,27
0.448,20
0.4684,21
0.479,22
0.5358,20
