CCF,NB
0.25676,5
0.35,6
0.3654,6
0.26404,7
0.30688,7
0.29176,7
0.25172,8
0.26264,8
0.32648,8
0.2366,9
0.21308,9
0.21056,9
0.1708,9
0.2464,9
0.22092,9
0.31472,9
0.20076,10
0.2366,10
0.26964,10
0.18284,10
0.23716,10
0.20832,10
0.27104,10
0.22876,10
0.27608,10
0.2562,10
0.19236,10
0.16604,10
0.2072,10
0.18536,11
0.19208,11
0.2058,11
0.22764,11
0.23044,11
0.23744,11
0.238,11
0.24696,11
0.26824,11
0.1624,12
0.16464,12
0.19488,12
0.19572,12
0.20328,12
0.21,12
0.2156,12
0.22708,12
0.2352,12
0.23548,12
0.23744,12
0.25536,12
0.26348,12
0.27216,12
0.22848,12
0.2142,12
0.2254,12
0.23772,12
0.1792,13
0.18788,13
0.19992,13
0.20636,13
0.2114,13
0.2198,13
0.22988,13
0.23408,13
0.23604,13
0.24192,13
0.25396,13
0.25564,13
0.26236,13
0.266,13
0.26964,13
0.23688,13
0.27748,13
0.18676,13
0.18004,13
0.20468,14
0.20916,14
0.22764,14
0.2324,14
0.23128,14
0.23072,14
0.23968,14
0.32928,14
0.22932,14
0.19768,14
0.27356,14
0.21252,14
0.28476,15
0.22148,15
0.16744,15
0.2058,16
0.19292,16
0.21812,16
0.17892,17
0.19992,19
0.22428,19
0.22036,17
0.19376,18
0.15232,19
0.22204,19
