CCF,NB
0.39,46
0.369,29
0.5796,19
0.342,15
0.4034,22
0.569,19
0.6206,18
0.1544,11
0.2708,36
0.3282,24
0.681,20
0.3696,38
0.4674,28
0.3658,19
0.7248,25
0.3442,26
0.348,24
0.4086,32
0.3208,34
0.5704,18
0.6558,34
0.536,22
0.4262,32
0.534,28
0.8256,39
0.6084,16
0.532,23
0.2146,17
0.3878,24
0.7484,25
0.5566,20
0.494,18
0.5472,24
0.829,29
0.2846,31
0.3196,29
0.7168,29
0.447,16
0.4876,27
0.6368,22
0.4902,35
0.5668,27
0.4758,25
0.2822,15
0.1638,7
0.3986,31
0.4892,19
0.4026,30
0.4886,23
0.3414,18
0.147,17
0.5112,26
0.1546,6
0.2782,26
0.2928,23
0.3132,11
0.2548,7
0.3016,13
0.3222,22
0.473,25
0.1602,11
0.3862,38
0.1738,7
0.2004,4
0.3738,14
0.3316,37
0.1616,7
0.1746,7
0.182,7
0.1014,6
0.128,8
0.541,26
0.4602,16
0.2074,15
0.175,12
0.2242,6
0.3428,19
0.1656,10
0.1038,10
0.2482,6
0.2312,15
0.2928,12
0.137,4
0.2538,16
0.139,12
0.2114,7
0.2024,16
0.368,16
0.4026,15
0.2066,16
0.2424,6
0.1822,10
0.1638,10
0.6216,18
0.6056,34
0.2642,9
0.2138,11
0.1378,10
0.3328,5
0.441,20
