CCF,NB
0.10164,10
0.12516,6
0.12516,6
0.12552,4
0.12564,2
0.13596,2
0.13668,12
0.1374,6
0.14016,10
0.14196,3
0.14496,9
0.14556,7
0.14604,2
0.14604,10
0.14988,8
0.15156,6
0.15396,3
0.159,12
0.17124,8
0.1728,8
0.1746,6
0.17688,10
0.17988,11
0.18,9
0.18096,6
0.18444,9
0.1872,8
0.1872,9
0.1884,12
0.18948,6
0.1908,9
0.19164,11
0.19248,12
0.1932,4
0.1992,11
0.20016,7
0.201,11
0.21336,8
0.21396,4
0.21408,7
0.2226,7
0.22788,8
0.22944,6
0.23292,4
0.23424,7
0.23484,8
0.23688,5
0.24288,2
0.24288,9
0.24324,4
0.2484,3
0.2538,10
0.25704,6
0.25752,10
0.26124,6
0.26244,14
0.26328,11
0.2658,4
0.26736,14
0.27,9
0.27492,8
0.27492,14
0.27516,7
0.27672,4
0.28236,6
0.28332,12
0.28332,14
0.2862,13
0.28776,13
0.28848,15
0.29412,13
0.29436,4
0.3012,10
0.30228,10
0.303,8
0.30456,12
0.30708,7
0.31716,15
0.32316,4
0.32448,6
0.34812,12
0.35016,16
0.3534,10
0.35532,10
0.37644,4
0.38484,14
0.3936,13
0.4056,12
0.41976,10
0.42432,6
0.42564,8
0.45696,16
0.46368,10
0.47112,12
0.47364,6
0.49332,18
0.53232,16
0.54216,7
0.5862,7
0.6678,8
