Sample	NTMB	meanCCF
P003TO	12	0.5159166666666667
P003TP	57	0.5092280701754387
P004TP	16	0.5323125
P005TO	14	0.34299999999999997
P005TP	22	0.3221818181818181
P007TO	64	0.026562500000000003
P007TP	59	0.6734237288135594
P008TO	21	0.5287619047619048
P008TP	18	0.5204999999999999
P009TO	32	0.5901562499999999
P009TP	25	0.51032
P010TO	48	0.30704166666666666
P010TP	31	0.25254838709677424
P011TO	20	0.5094500000000001
P011TP	18	0.47844444444444445
P013TO	24	0.5873333333333334
P013TP	28	0.5545
P017TO	14	0.18257142857142855
P017TP	11	0.24954545454545454
P018TO	13	0.04530769230769231
P018TP	119	0.506420168067227
P023TO	142	0.5238028169014085
P023TP	65	0.25375384615384616
P024TP	2	0.157
P025TP	12	0.5345833333333333
P026TO	17	0.5676470588235295
P026TP	16	0.5383125
P027TO	55	0.44921818181818185
P027TP	55	0.42307272727272727
P028TO	22	0.2959545454545454
P028TP	24	0.22275
P029TP	45	0.6297777777777777
P030TO	11	0.04299999999999999
P030TP	19	0.2725263157894737
P031TO	15	0.33813333333333334
P031TP	54	0.531925925925926
P032TP	26	0.5311153846153847
P034TO	17	0.053647058823529416
P034TP	9	0.28655555555555556
P036TP	6	0.08616666666666667
P037TO	14	0.2655714285714285
P037TP	16	0.2224375
P038TP	89	0.30691011235955057
P044TO	26	0.031615384615384615
P044TP	58	0.6732931034482759
P046TP	209	0.17092344497607656
P047TO	134	0.6806641791044776
P047TP	133	0.6344436090225564
P048TO	26	0.06207692307692308
P048TP	140	0.12336428571428572
P049TP	596	0.3098087248322147
P051TO	39	0.6697179487179487
P051TP	28	0.6386071428571428
P052TO	26	0.42653846153846153
P052TP	32	0.44565625
P053TO	8	0.093125
P053TP	16	0.429875
P054TP	967	0.7193433298862462
P058TO	435	0.3405586206896552
P058TP	156	0.2823141025641026
P059TO	21	0.03695238095238096
P059TP	24	0.45116666666666666
P060TO	143	0.6706853146853147
P060TP	371	0.6010673854447439
P065TP	1917	0.40815649452269165
P066TO	37	0.5296216216216217
P066TP	23	0.44804347826086965
P067TO	7	0.09428571428571429
P067TP	7	0.22985714285714284
P068TP	14	0.4050000000000001
P070TO	16	0.344625
P070TP	56	0.5409642857142857
P071TO	3	0.042333333333333334
P071TP	4	0.10700000000000001
P072TP	72	0.6528055555555556
P073TP	9	0.08366666666666667
P074TP	10	0.26399999999999996
P076TP	56	0.599357142857143
P077TP	1	0.437
P079TP	91	0.6172087912087912
P082TO	25	0.49036
P082TP	15	0.40166666666666667
P083TO	223	0.18117040358744393
P083TP	151	0.48882119205298014
P084TP	5	0.32460000000000006
P085TP	43	0.6281162790697675
P086TO	255	0.3806862745098039
P086TP	140	0.30474999999999997
P087TP	4	0.45699999999999996
P089TO	35	0.5719428571428571
P089TP	36	0.5294444444444445
P090TP	674	0.19372551928783383
P092TP	130	0.6598538461538462
P093TO	69	0.678231884057971
P093TP	21	0.05399999999999999
P094TP	67	0.546597014925373
P098TP	11	0.19536363636363638
P100TO	11	0.08154545454545456
P100TP	14	0.06278571428571429
P101TO	4	0.16849999999999998
P101TP	3	0.2283333333333333
P102TO	102	0.44840196078431366
P102TP	61	0.25536065573770494
P103TO	13	0.4278461538461538
P103TP	23	0.18417391304347824
P106TP	54	0.6596296296296295
P108TP	17	0.36476470588235294
