no_esc,esc
0.28,0.2731
0.2811,0.307
0.2377,0.271
0.2802,0.2068
0.2911,0.2873
0.2657,0.2619
0.2732,0.2953
0.3339,0.2586
0.2866,0.2959
0.2546,0.2815
0.2815,0.2448
0.2987,0.2914
0.292,0.2272
0.3012,0.2867
0.289,0.2707
0.2846,0.2846
0.2922,0.2781
0.2856,0.2692
0.2576,0.2593
0.3044,0.2706
0.2815,0.2396
0.2563,0.2647
0.2666,0.2698
0.2844,0.3091
0.3197,0.2553
0.263263,0.2818
0.214353,0.2814
0.216565,0.3129
0.261122,0.2622
0.279864,0.2985
0.266768,0.2954
0.291178,0.2853
0.280214,0.2603
0.300541,0.2729
0.26777,0.379
0.209483,0.2229
0.27319,0.2565
0.16053,0.2826
0.251524,0.2787
0.251187,0.2756
0.26346,0.2701
0.275111,0.2856
0.321221,0.3129
0.293175,0.2681
0.248564,0.2582
0.246934,0.2793
0.297821,0.2722
0.276591,0.2888
0.323217,0.3183
0.247388,0.2841
