Sample	NTMB	meanCCF
SKCM10T1	166	0.16009036144578312
SKCM10T2	147	0.14696598639455782
SKCM11T1	17	0.2184705882352941
SKCM11T2	21	0.2043809523809524
SKCM11T3	17	0.26282352941176473
SKCM11T4	17	0.29788235294117643
SKCM12T1	138	0.32126086956521743
SKCM12T2	75	0.10037333333333333
SKCM12T4	174	0.1409942528735632
SKCM13T1	31	0.36441935483870963
SKCM13T2	8	0.44849999999999995
SKCM13T3	8	0.47375
SKCM14T1	96	0.40457291666666667
SKCM14T2	131	0.3093435114503817
SKCM14T3	84	0.23961904761904762
SKCM14T4	82	0.22308536585365857
SKCM15T1	37	0.4534324324324325
SKCM15T2	37	0.4073243243243243
SKCM15T3	34	0.3897941176470589
SKCM15T4	36	0.36191666666666666
SKCM15T5	35	0.42022857142857145
SKCM15T6	39	0.5577948717948717
SKCM15T7	36	0.5215277777777779
SKCM15T8	42	0.49514285714285705
SKCM1T1	17	0.49447058823529416
SKCM1T2	14	0.4922142857142857
SKCM2T1	38	0.5552631578947367
SKCM2T2	54	0.5786851851851852
SKCM3T1	13	0.47523076923076923
SKCM3T2	17	0.631764705882353
SKCM4T1	200	0.019375000000000003
SKCM4T2	63	0.5416031746031746
SKCM5T1	39	0.17123076923076924
SKCM5T2	38	0.11307894736842102
SKCM6T1	71	0.13895774647887324
SKCM6T2	74	0.12154054054054053
SKCM7T1	28	0.20021428571428576
SKCM7T2	60	0.5070833333333333
