Sample	NTMB	meanCCF
MESO0109T1	63	0.43911111111111106
MESO0109T2	51	0.5540980392156862
MESO0112T1	371	0.1914097035040431
MESO0112T2	125	0.12708799999999998
MESO0112T3	43	0.2565581395348837
MESO0112T4	233	0.09700429184549358
MESO0112T5	315	0.10713968253968255
MESO0114T1	20	0.28164999999999996
MESO0114T2	39	0.29776923076923073
MESO0119T2	98	0.14077551020408163
MESO0119T3	88	0.21989772727272727
MESO0123T1	123	0.5109186991869918
MESO0123T2	421	0.3432565320665083
MESO0131T	86	0.24815116279069768
MESO0170T1	156	0.44245512820512817
MESO0170T2	395	0.1758329113924051
MESO0187T1	84	0.22296428571428575
MESO0191T	133	0.26215037593984963
MESO0192T1	47	0.3499148936170212
MESO0192T2	53	0.33690566037735853
MESO0192T3	38	0.3532105263157895
MESO0194T	50	0.25432000000000005
MESO0195T1	48	0.18810416666666666
MESO0195T2	50	0.27568000000000004
MESO0199T	169	0.5519704142011834
MESO0200T	103	0.351873786407767
MESO0232T	374	0.2734812834224599
MESO0243T	1053	0.22335327635327634
MESO0265T	231	0.3417619047619047
MESO0268T	866	0.2202782909930716
MESO0269T1	51	0.16727450980392156
MESO0269T2	108	0.14641666666666667
MESO0274T	42	0.49328571428571427
MESO0280T	194	0.3937319587628866
MESO0284T	9	0.39855555555555555
MESO0304T	329	0.546145896656535
MESO0305T	2	0.476
MESO0315T	89	0.3445393258426966
MESO0317T	188	0.30797340425531916
MESO0362T	2266	0.12114783759929389
MESO0370T1	13	0.268
MESO0370T2	32	0.4049375
MESO0376T	1	0.432
MESO0382T	134	0.44986567164179103
MESO0385T	165	0.3610606060606061
MESO0386T1	46	0.4295652173913042
MESO0386T2	266	0.5015714285714286
MESO0387T	90	0.21734444444444445
MESO0388T	285	0.45377894736842106
MESO0389T	170	0.49967058823529414
MESO0390T	72	0.31205555555555553
MESO0391T	4	0.5095000000000001
MESO0393T	422	0.5853554502369668
MESO0394T	871	0.2402548794489093
MESO0395T	44	0.42434090909090916
MESO0397T	68	0.23961764705882355
MESO0398T	88	0.20897727272727273
MESO0399T	85	0.6180705882352943
MESO0407T	39	0.3167435897435898
MESO0414T	96	0.20357291666666666
MESO0415T	197	0.4388020304568529
MESO0416T	94	0.31818085106382976
MESO0417T	24	0.41100000000000003
MESO0418T	3	0.443
